"","Gene.stable.ID","Chromosome.scaffold.name","Karyotype.band","HGNC.symbol","chr.arm"
"42","ENSG00000088766",20,"p12.3","CRLS1","20p"
"43","ENSG00000086475",10,"p13","SEPHS1","10p"
"44","ENSG00000174327",17,"p13.1","SLC16A13","17p"
"45","ENSG00000227255",17,"p12","CDRT15P2","17p"
"47","ENSG00000173597",4,"q13.3","SULT1B1","4q"
"54","ENSG00000133818",11,"p15.2","RRAS2","11p"
"57","ENSG00000010319",3,"p21.1","SEMA3G","3p"
"63","ENSG00000188338",3,"p21.31","SLC38A3","3p"
"64","ENSG00000115386",2,"p12","REG1A","2p"
"73","ENSG00000185972",9,"p13.3","CCIN","9p"
"75","ENSG00000134571",11,"p11.2","MYBPC3","11p"
"76","ENSG00000205022",16,"q24.3","PABPN1L","16q"
"77","ENSG00000174564",3,"q22.3","IL20RB","3q"
"80","ENSG00000142627",1,"p36.13","EPHA2","1p"
"82","ENSG00000177125",9,"q33.3","ZBTB34","9q"
"83","ENSG00000198373",16,"q22.1","WWP2","16q"
"84","ENSG00000164107",4,"q34.1","HAND2","4q"
"85","ENSG00000144401",2,"q33.3","METTL21A","2q"
"86","ENSG00000277149",7,"q11.23","TYW1B","7q"
"93","ENSG00000256525",17,"q23.3","POLG2","17q"
"104","ENSG00000256043",4,"q32.1","CTSO","4q"
"108","ENSG00000181915",10,"q21.3","ADO","10q"
"109","ENSG00000237515",16,"p13.12","SHISA9","16p"
"117","ENSG00000152292",2,"p11.2","SH2D6","2p"
"118","ENSG00000188064",22,"q13.31","WNT7B","22q"
"120","ENSG00000005073",7,"p15.2","HOXA11","7p"
"125","ENSG00000179277",17,"p12","MEIS3P1","17p"
"127","ENSG00000180071",9,"p13.1","ANKRD18A","9p"
"130","ENSG00000230156",13,"q33.3","LINC00443","13q"
"132","ENSG00000177669",8,"p12","MBOAT4","8p"
"140","ENSG00000148773",10,"q26.2","MKI67","10q"
"144","ENSG00000034152",17,"p11.2","MAP2K3","17p"
"147","ENSG00000100292",22,"q12.3","HMOX1","22q"
"148","ENSG00000072163",2,"q14.3","LIMS2","2q"
"150","ENSG00000157617",21,"q22.3","C2CD2","21q"
"156","ENSG00000006757",23,"p22.31","PNPLA4","23p"
"164","ENSG00000104671",8,"p12","DCTN6","8p"
"172","ENSG00000236445",2,"q35","LINC00608","2q"
"173","ENSG00000240990",7,"p15.2","HOXA11-AS","7p"
"180","ENSG00000174326",17,"p13.1","SLC16A11","17p"
"184","ENSG00000120158",9,"p24.1","RCL1","9p"
"185","ENSG00000279847",8,"q22.1","C8orf87","8q"
"187","ENSG00000111859",6,"p24.2","NEDD9","6p"
"188","ENSG00000149742",11,"q12.3","SLC22A9","11q"
"189","ENSG00000084207",11,"q13.2","GSTP1","11q"
"191","ENSG00000064687",19,"p13.3","ABCA7","19p"
"194","ENSG00000140254",15,"q21.1","DUOXA1","15q"
"196","ENSG00000163497",2,"q35","FEV","2q"
"212","ENSG00000115271",2,"q24.2","GCA","2q"
"220","ENSG00000101144",20,"q13.31","BMP7","20q"
"221","ENSG00000117906",15,"q24.3","RCN2","15q"
"224","ENSG00000109881",11,"p14.1","CCDC34","11p"
"227","ENSG00000158092",3,"q22.3","NCK1","3q"
"231","ENSG00000124429",23,"q21.1","POF1B","23q"
"233","ENSG00000107614",10,"p13","TRDMT1","10p"
"234","ENSG00000166862",22,"q12.3","CACNG2","22q"
"236","ENSG00000177504",23,"p22.31","VCX2","23p"
"238","ENSG00000053108",5,"q31.1","FSTL4","5q"
"241","ENSG00000153495",13,"q34","TEX29","13q"
"244","ENSG00000272602",4,"p16.3","ZNF595","4p"
"251","ENSG00000204860",9,"p13.1","FAM201A","9p"
"254","ENSG00000137809",15,"q23","ITGA11","15q"
"256","ENSG00000179299",4,"p14","NSUN7","4p"
"263","ENSG00000135245",7,"q32.1","HILPDA","7q"
"268","ENSG00000179468",7,"q34","OR9A2","7q"
"269","ENSG00000104660",8,"p12","LEPROTL1","8p"
"274","ENSG00000132383",17,"p13.3","RPA1","17p"
"275","ENSG00000164902",5,"q23.2","PHAX","5q"
"278","ENSG00000179934",3,"p22.1","CCR8","3p"
"279","ENSG00000103415",16,"p13.3","HMOX2","16p"
"285","ENSG00000165055",7,"q32.1","METTL2B","7q"
"289","ENSG00000162949",2,"p23.1","CAPN13","2p"
"300","ENSG00000173275",23,"q26.3","ZNF449","23q"
"301","ENSG00000140853",16,"q13","NLRC5","16q"
"302","ENSG00000104833",19,"p13.3","TUBB4A","19p"
"307","ENSG00000225781",7,"q34","OR6V1","7q"
"308","ENSG00000170160",17,"p11.2","CCDC144A","17p"
"311","ENSG00000143977",2,"p13.3","SNRPG","2p"
"314","ENSG00000134755",18,"q12.1","DSC2","18q"
"315","ENSG00000179420",7,"q34","OR6W1P","7q"
"317","ENSG00000159763",7,"q34","PIP","7q"
"318","ENSG00000118260",2,"q33.3","CREB1","2q"
"319","ENSG00000067064",10,"p15.3","IDI1","10p"
"334","ENSG00000110375",11,"q23.3","UPK2","11q"
"337","ENSG00000179913",19,"p13.11","B3GNT3","19p"
"339","ENSG00000110218",11,"q21","PANX1","11q"
"347","ENSG00000205642",23,"p22.31","VCX3B","23p"
"349","ENSG00000188655",14,"q11.2","RNASE9","14q"
"356","ENSG00000236398",7,"q34","TAS2R39","7q"
"357","ENSG00000186174",11,"q23.3","BCL9L","11q"
"363","ENSG00000186532",17,"p13.3","SMYD4","17p"
"364","ENSG00000110090",11,"q13.3","CPT1A","11q"
"370","ENSG00000160111",19,"p13.11","CPAMD8","19p"
"374","ENSG00000184611",2,"q24.2","KCNH7","2q"
"381","ENSG00000148377",10,"p15.3","IDI2","10p"
"383","ENSG00000108784",17,"q21.2","NAGLU","17q"
"384","ENSG00000186575",22,"q12.2","NF2","22q"
"388","ENSG00000108960",17,"q22","MMD","17q"
