Gene.stable.ID	Chromosome.scaffold.name	Karyotype.band	HGNC.symbol	chr.arm
ENSG00000198162	1	p12	MAN1A2	1p
ENSG00000092621	1	p12	PHGDH	1p
ENSG00000134250	1	p12	NOTCH2	1p
ENSG00000065183	1	p12	WDR3	1p
ENSG00000163399	1	p13.1	ATP1A1	1p
ENSG00000116830	1	p13.1	TTF2	1p
ENSG00000173218	1	p13.1	VANGL1	1p
ENSG00000134247	1	p13.1	PTGFRN	1p
ENSG00000116815	1	p13.1	CD58	1p
ENSG00000155366	1	p13.2	RHOC	1p
ENSG00000009307	1	p13.2	CSDE1	1p
ENSG00000116489	1	p13.2	CAPZA1	1p
ENSG00000052723	1	p13.2	SIKE1	1p
ENSG00000116473	1	p13.2	RAP1A	1p
ENSG00000116455	1	p13.2	WDR77	1p
ENSG00000116752	1	p13.2	BCAS2	1p
ENSG00000213281	1	p13.2	NRAS	1p
ENSG00000155380	1	p13.2	SLC16A1	1p
ENSG00000197323	1	p13.2	TRIM33	1p
ENSG00000116793	1	p13.2	PHTF1	1p
ENSG00000081019	1	p13.2	RSBN1	1p
ENSG00000143079	1	p13.2	CTTNBP2NL	1p
ENSG00000163349	1	p13.2	HIPK1	1p
ENSG00000081026	1	p13.2	MAGI3	1p
ENSG00000143106	1	p13.3	PSMA5	1p
ENSG00000134186	1	p13.3	PRPF38B	1p
ENSG00000168710	1	p13.3	AHCYL1	1p
ENSG00000031698	1	p13.3	SARS	1p
ENSG00000065135	1	p13.3	GNAI3	1p
ENSG00000121931	1	p13.3	LRIF1	1p
ENSG00000134202	1	p13.3	GSTM3	1p
ENSG00000085491	1	p13.3	SLC25A24	1p
ENSG00000156171	1	p13.3	DRAM2	1p
ENSG00000197780	1	p13.3	TAF13	1p
ENSG00000121957	1	p13.3	GPSM2	1p
ENSG00000134222	1	p13.3	PSRC1	1p
ENSG00000215717	1	p13.3	TMEM167B	1p
ENSG00000134243	1	p13.3	SORT1	1p
ENSG00000121940	1	p13.3	CLCC1	1p
ENSG00000168765	1	p13.3	GSTM4	1p
ENSG00000116266	1	p13.3	STXBP3	1p
ENSG00000116337	1	p13.3	AMPD2	1p
ENSG00000198890	1	p13.3	PRMT6	1p
ENSG00000137996	1	p21.2	RTCA	1p
ENSG00000117543	1	p21.2	DPH5	1p
ENSG00000156876	1	p21.2	SASS6	1p
ENSG00000117620	1	p21.2	SLC35A3	1p
ENSG00000162695	1	p21.2	SLC30A7	1p
ENSG00000162694	1	p21.2	EXTL2	1p
ENSG00000162688	1	p21.2	AGL	1p
ENSG00000122435	1	p21.2	TRMT13	1p
ENSG00000117519	1	p21.3	CNN3	1p
ENSG00000117525	1	p21.3	F3	1p
ENSG00000162627	1	p21.3	SNX7	1p
ENSG00000117528	1	p21.3	ABCD3	1p
ENSG00000172339	1	p21.3	ALG14	1p
ENSG00000152078	1	p21.3	TMEM56	1p
ENSG00000122406	1	p22.1	RPL5	1p
ENSG00000137962	1	p22.1	ARHGAP29	1p
ENSG00000023909	1	p22.1	GCLM	1p
ENSG00000117505	1	p22.1	DR1	1p
ENSG00000067334	1	p22.1	DNTTIP2	1p
ENSG00000143033	1	p22.1	MTF2	1p
ENSG00000117500	1	p22.1	TMED5	1p
ENSG00000137942	1	p22.1	FNBP1L	1p
ENSG00000067208	1	p22.1	EVI5	1p
ENSG00000137936	1	p22.1	BCAR3	1p
ENSG00000122484	1	p22.1	RPAP2	1p
ENSG00000122483	1	p22.1	CCDC18	1p
ENSG00000065243	1	p22.2	PKN2	1p
ENSG00000162664	1	p22.2	ZNF326	1p
ENSG00000122482	1	p22.2	ZNF644	1p
ENSG00000171492	1	p22.2	LRRC8D	1p
ENSG00000213516	1	p22.2	RBMXL1	1p
ENSG00000117226	1	p22.2	GBP3	1p
ENSG00000137947	1	p22.2	GTF2B	1p
ENSG00000174021	1	p22.3	GNG5	1p
ENSG00000142871	1	p22.3	CYR61	1p
ENSG00000097033	1	p22.3	SH3GLB1	1p
ENSG00000143013	1	p22.3	LMO4	1p
ENSG00000162642	1	p22.3	C1orf52	1p
ENSG00000117133	1	p22.3	RPF1	1p
ENSG00000122417	1	p22.3	ODF2L	1p
ENSG00000153904	1	p22.3	DDAH1	1p
ENSG00000117155	1	p22.3	SSX2IP	1p
ENSG00000117174	1	p22.3	ZNHIT6	1p
ENSG00000142867	1	p22.3	BCL10	1p
ENSG00000117151	1	p22.3	CTBS	1p
ENSG00000153936	1	p22.3	HS2ST1	1p
ENSG00000116754	1	p31.1	SRSF11	1p
ENSG00000162623	1	p31.1	TYW3	1p
ENSG00000132485	1	p31.1	ZRANB2	1p
ENSG00000162613	1	p31.1	FUBP1	1p
ENSG00000137955	1	p31.1	RABGGTB	1p
ENSG00000117054	1	p31.1	ACADM	1p
ENSG00000162614	1	p31.1	NEXN	1p
ENSG00000077254	1	p31.1	USP33	1p
ENSG00000116791	1	p31.1	CRYZ	1p
ENSG00000142875	1	p31.1	PRKACB	1p
ENSG00000118454	1	p31.1	ANKRD13C	1p
ENSG00000137965	1	p31.1	IFI44	1p
ENSG00000137941	1	p31.1	TTLL7	1p
ENSG00000142892	1	p31.1	PIGK	1p
ENSG00000154027	1	p31.1	AK5	1p
ENSG00000142864	1	p31.3	SERBP1	1p
ENSG00000162607	1	p31.3	USP1	1p
ENSG00000116717	1	p31.3	GADD45A	1p
ENSG00000162434	1	p31.3	JAK1	1p
ENSG00000172380	1	p31.3	GNG12	1p
ENSG00000213625	1	p31.3	LEPROT	1p
ENSG00000024526	1	p31.3	DEPDC1	1p
ENSG00000079739	1	p31.3	PGM1	1p
ENSG00000162433	1	p31.3	AK4	1p
ENSG00000198160	1	p31.3	MIER1	1p
ENSG00000162604	1	p31.3	TM2D1	1p
ENSG00000142856	1	p31.3	ITGB3BP	1p
ENSG00000116729	1	p31.3	WLS	1p
ENSG00000162599	1	p31.3	NFIA	1p
ENSG00000116641	1	p31.3	DOCK7	1p
ENSG00000177606	1	p32.1	JUN	1p
ENSG00000184292	1	p32.1	TACSTD2	1p
ENSG00000134709	1	p32.1	HOOK1	1p
ENSG00000116221	1	p32.3	MRPL37	1p
ENSG00000081870	1	p32.3	HSPB11	1p
ENSG00000116209	1	p32.3	TMEM59	1p
ENSG00000116133	1	p32.3	DHCR24	1p
ENSG00000162385	1	p32.3	MAGOH	1p
ENSG00000134717	1	p32.3	BTF3L4	1p
ENSG00000117862	1	p32.3	TXNDC12	1p
ENSG00000116171	1	p32.3	SCP2	1p
ENSG00000134748	1	p32.3	PRPF38A	1p
ENSG00000185104	1	p32.3	FAF1	1p
